,t1,t2,ciudad
156,-24.621521,6.825849,La Paternal
157,-9.010055,13.003154,La Paz
158,6.4378185,-37.38714,La Plata
159,11.788688,26.22059,La Punta
160,-0.0753078,-5.6644716,La Silleta
161,-18.72818,-32.672092,Lanús
162,5.41198,9.670983,Las Caleras
163,-5.2043133,4.0219793,Las Calles
164,14.78413,-21.08837,Las Cañas
165,14.199451,10.368279,Las Delicias
166,-5.444542,5.352378,Las Flores
167,-35.527546,0.4692476,Las Gaviotas
168,-15.023993,17.10644,Las Golondrinas
169,-10.148769,-8.21389,Las Grutas
170,24.66204,-24.97287,Las Heras
171,-6.29105,-34.09177,Las Leñas
172,7.3923974,19.585705,Las Perlas
173,26.845274,12.7591505,Las Rabonas
174,0.5654556,20.076897,Las Tapias
175,-45.921913,-5.0255737,Las Toninas
176,-22.14409,3.6141262,Liniers
177,-20.054125,-11.629109,Lobería
178,-11.750163,8.103377,Lobos
179,-19.095646,-32.359486,Lomas de Zamora
180,-29.672665,-20.245476,Loncopué
181,21.914104,11.120423,Los Cocos
182,11.113228,-11.009553,Los Corralitos
183,-9.950886,11.396085,Los Hornillos
184,0.11783746,-1.7803259,Los Molinos
185,-17.543592,-8.515069,Los Molles
186,-22.34836,-10.880782,Los Nogales
187,4.4766765,20.094301,Los Reartes
188,7.6557045,25.550756,Luján
189,22.291445,-23.671564,Luján de Cuyo
190,26.981047,-24.632866,Lunlunta
191,-4.105749,20.830395,Lácar
192,-26.695166,-1.7491937,Magdalena
193,12.703107,-22.210455,Maipú
194,26.55369,0.2436216,Malagueño
195,8.725258,29.883121,Malvinas Argentinas
196,-2.0231047,25.227663,Mar Azul
197,-12.889597,-9.504382,Mar Chiquita
198,-7.9619713,8.16191,Mar de Ajó
199,-3.2546926,14.361629,Mar de las Pampas
200,-11.889116,-26.08142,Mar del Plata
201,4.8696165,23.395487,Mar del Tuyú
202,12.164653,-10.964218,Marcos Paz
203,-22.063412,9.736249,Mari Menuco
204,-34.709934,2.2052665,Mataderos
205,2.1826396,-18.305386,Mayor Drummond
206,37.536858,20.156507,Mayu Sumaj
207,27.820818,-9.157429,Mendiolaza
208,-5.5432973,-17.92683,Mercedes
209,-2.2201927,34.35199,Merlo
210,13.963689,-12.943559,Mina Clavero
211,29.05448,-17.319574,Miramar
212,-41.51727,-7.519413,Monserrat
213,-35.11865,16.267746,Monte Caseros
214,-22.094011,6.187977,Monte Castro
215,23.507818,-15.350925,Monte Grande
216,-8.892771,-13.652607,Monte Hermoso
217,3.344926,31.424864,Moreno
218,-2.8369217,35.241318,Morón
219,-23.777014,-8.761317,Navarro
220,10.031661,20.031952,Necochea
221,22.050755,-31.289967,Neuquén
222,-11.626433,-22.152699,Nono
223,3.3096576,25.14395,Nueva Atlantis
224,-11.614354,-2.6815085,Nueve de Julio
225,-19.379953,-9.47507,Núñez
226,-7.37138,-12.31991,Olavarría
227,-29.015774,-21.198013,Oliveros
228,-40.67321,-9.053242,Once
229,17.223356,-18.489765,Ostende
230,32.913754,-9.316526,Otro
231,-29.73619,11.04395,Palermo
232,-43.987785,-17.78652,Paraguay
233,-26.898886,3.8076658,Parque Avellaneda
234,-31.169195,-9.567135,Parque Centenario
235,-34.8819,-7.3480353,Parque Chacabuco
236,-16.771954,-3.6800508,Parque Chas
237,-37.49886,-6.1504474,Parque Patricios
238,20.240458,-24.322666,Pedro Molina
239,4.0872498,15.549625,Pellegrini
240,3.260013,-6.138846,Perdriel
241,-33.143997,-5.873352,Pergamino
242,24.37143,19.472113,Piedra del Águila
243,10.905305,31.13278,Pilar
244,28.81248,7.7806706,Pinamar
245,-42.737442,-9.653766,Piñero
246,7.7612753,-11.101218,Plaza Huincul
247,19.32598,-21.646772,Plottier
248,-35.831165,-5.2383223,Pompeya
249,-40.850945,-2.9973717,Posadas
250,-3.9694414,-7.8333097,Potrerillos
251,32.12509,12.291153,Potrero de Garay
252,-3.0581262,-14.618847,Potrero de los Funes
253,21.769724,-13.054878,Presidente Perón
254,3.4397175,-10.838023,Pueblo Andino
255,25.708704,-27.011503,Pueblo Esther
256,8.9799,-11.282087,Puerto General San Martín
257,-15.717058,9.85384,Puerto Iguazú
258,-36.61623,-3.8094454,Puerto Madero
259,-11.211463,21.551159,Puerto Madryn
260,-10.2591,-14.979043,Punta Indio
261,20.12169,31.9169,Punta Médanos
262,-6.9434357,-33.717373,Pérez
263,-15.095565,6.2908254,Quebrada de los Pozos
264,-17.139578,-28.324791,Quilmes
265,39.220894,18.566555,Rafaela
266,9.227505,-6.7433505,Rauch
267,-40.367348,-16.316996,Recoleta
268,-0.66726446,-3.824403,Residencial Norte
269,25.854275,-19.389637,Resistencia
270,-17.806427,14.948294,Reta
271,-41.87808,-14.791956,Retiro
272,-9.925477,-20.560549,Rincón de los Sauces
273,-30.631342,-27.243792,Rivadavia
274,16.885056,-22.103455,Rodeo de la Cruz
275,-2.965659,-16.54543,Rodeo del Medio
276,18.455662,-29.07931,Roldán
277,20.60403,35.62608,Rolón
278,17.88467,-29.885902,Rosario
279,-5.8043327,-12.027425,Rosario de Lerma
280,6.5498834,-7.229384,Russell
281,32.707653,14.7975445,Río Ceballos
282,-26.742846,1.4732801,Río Chico
283,30.865911,7.229851,Río Cuarto
284,7.0277276,31.793594,Río Grande
285,21.276009,4.741789,Río Segundo
286,-17.829369,-6.388622,Saavedra
