,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Ascochinga,1.1587867,0.6639506,-1.0106814,-0.24996011,0.49963272,0.5903172,-1.86241,0.38781127,0.27090943,1.1950843,2.3545253,0.84079915,0.8042332,0.10110547,1.5358117,-1.0517247,0.4575373,0.40963927,1.5075326,-0.81760114,0.81391394,0.21902652,-1.5950501,-0.37530214,-0.97968787,-0.184184,1.4512982,0.39876574,2.169282,0.11587845,0.5122896,-0.64515555,0.4494657,3.369286,-0.54771626,2.485443,0.666799,2.053879,0.78895265,0.19032194,1.5071913,0.36495906,1.38119,0.15565361,-0.0027696441,0.2902657,-0.3806114,-0.4467639,1.4612496,0.363751,-0.535516,1.279291,0.7772126,0.86073434,-2.2571535,0.14827342,1.8639888,-0.13395391,1.081482,-0.732911,-0.6286669,0.3228996,-0.65802103,-0.81496775,1.6153694,-1.84997,0.67199117,2.266095,-0.8399651,-1.0015597,3.2693672,1.2277552,1.3712796,0.46739128,0.44609904,-1.3270084,-1.4100381,-0.84586114,-1.1718582,1.8649619,-0.95673305,0.61259925,0.6425054,-1.5039487,1.0809498,2.0418565,1.5603064,-3.23391,0.2926671,-0.35983416,0.1523774,-0.20078184,2.5036726,1.2969762,1.6363392,0.19627793,2.0427136,0.12319636,0.76021576,1.5044227
Avellaneda,-1.7384511,0.01918306,-1.5936385,1.2956989,-0.6954221,0.3825773,-0.5945799,2.1585448,0.20179805,0.109715074,-2.0318594,0.83629036,-3.4290576,1.9377099,0.29261458,-0.8641466,-0.05297493,-1.3992745,-2.3102937,-1.0581822,1.3705918,-2.4732032,-1.7120225,-0.17898567,-1.1679661,1.2676804,-0.48541936,2.3222017,0.7113281,0.53204286,-0.6496313,-1.2686126,1.2910178,1.5704906,-2.3572176,1.4249699,-0.42635134,0.7638615,-1.2757032,-0.4780202,1.6564745,-0.53088105,2.190887,2.6232846,0.6883306,1.803859,-2.1247342,1.2422465,1.0060805,0.6586646,-2.4057417,2.8196561,-0.35077044,0.084953144,0.9321363,-2.583437,-0.74296683,-3.8193395,3.8100579,1.0686646,-0.47516152,-1.9482948,-0.5114989,2.9798484,0.9663398,1.2289004,-3.2190259,1.1104325,1.4973519,1.9806607,-3.2151256,-0.0223673,2.1378343,-2.998149,0.22919822,1.792597,1.4578183,-2.5703182,0.5548784,1.1374121,0.51801753,1.9555191,2.5417178,3.0592072,1.1719625,1.2093216,1.5268588,-1.9687649,1.0563645,0.9872325,-1.4068837,3.3970764,-1.2240505,0.59364843,1.1149197,-0.6499113,0.80757445,-0.878377,5.7634587,0.29072428
Ayacucho,-0.36690134,2.6205409,1.3540914,1.1579517,-3.2553556,-1.6798512,0.18648203,-0.5557287,-0.5968803,0.20744266,-0.08497232,1.3297681,1.8432049,-1.2748618,-0.35460436,2.3088892,-1.1573086,0.61037415,-0.23079205,0.6117754,0.50653446,0.31826612,1.8327711,0.54170823,-0.09158568,-0.13367327,-2.2445066,0.68156475,2.1707563,-0.6060358,0.1117928,0.52014667,-0.63241154,1.877995,-1.3106276,0.08326118,0.60100967,0.09314734,-0.45411617,-1.6471057,-1.1212391,2.3711264,-0.75559103,-0.47160712,-1.4130199,0.61417836,0.13804863,-0.21111496,-1.0483983,-1.5887998,1.1228492,-0.19483076,-0.12463395,0.5244096,0.9350771,0.7098838,0.9030251,-0.2706681,-1.69849,0.60808545,1.187542,-0.33410093,0.11091791,1.4642603,0.7236776,-1.1280909,1.9567614,-0.5468487,-2.5563097,0.8769154,0.20770118,-0.5106493,-0.81612724,0.5849489,1.077078,-1.1300893,-0.92392945,-0.49569982,-1.4646968,-1.4042856,1.3766783,-0.94288003,-0.73543,0.0986493,-0.0825182,-0.99492335,-0.5392333,0.59318227,2.3373656,0.12697409,-0.086605966,-0.29567704,1.3781921,-1.4207308,-1.4474432,0.49069813,1.6429948,1.0586438,-0.7572135,-0.47722203
Añelo,-1.5632226,0.3212756,-0.36649343,-1.1724819,0.8096667,1.523105,0.7566795,-0.5269571,0.16138127,1.2542554,0.048180345,1.4846114,-0.13719155,1.339233,-3.23139,0.88820785,-0.2690668,0.40854862,-0.89706165,-1.4800081,-2.2989695,0.7460408,-0.5033346,-1.2403504,-1.0143101,2.0236957,2.5555577,1.4305546,-0.7622126,-0.5789384,0.013717419,0.05194213,0.2850264,-0.59919244,-0.17121987,-0.072219245,-1.1905311,1.4653134,-0.4220102,2.1045449,-0.7885013,-0.05750388,0.92689717,1.8752468,-0.7768456,0.4762529,-0.94540054,-0.100583985,1.1000028,-0.17536265,-0.65656316,0.70118415,1.0462595,-1.7095236,-1.3348864,-0.59829783,0.71928596,-0.005317176,2.061033,0.618124,-1.0338119,-1.0730795,-1.6159931,1.393946,1.7375668,0.1286815,0.79684854,3.3862505,-0.54352164,0.6800202,0.03829072,0.06906324,-0.34501582,-0.6056992,0.84602875,-2.1665442,-0.92332315,3.1145418,-1.4503286,1.4335618,-1.0097853,-0.97669595,0.40139326,-0.14997746,0.032331854,0.12486276,-0.19782178,-1.4790682,-0.6737386,0.26184022,0.56246346,0.7856597,-1.20708,-0.81139517,1.3924748,1.3339912,0.5073135,0.1786075,0.73443043,2.2129703
Bahía Blanca,-1.1746929,-0.40180877,-2.298107,-0.46051642,0.06973568,1.3800753,0.14709033,-1.6226678,-0.59886795,3.0473964,-2.1695843,2.340968,0.6038075,-1.0816923,0.50852245,0.12481488,0.20620029,1.1190308,0.983205,0.106950246,-1.8291553,0.27644926,1.0859625,-0.343952,-3.9591894,-0.5764376,0.13555583,1.1044195,0.78397745,-2.023288,2.1219718,1.1294154,2.0832832,2.3307307,-0.5461256,0.60062855,1.4430413,0.76630706,2.085748,1.7846648,0.3632004,2.1127725,2.6892726,2.842553,1.5977881,2.190537,-0.8970082,0.53264415,1.2663841,1.0120171,-0.21069033,2.4997575,1.2606512,2.051612,-0.9964388,-0.28139988,2.2866263,1.4224037,0.8761602,0.19355316,-1.4661462,-0.31409597,-0.4825059,0.775624,1.3346523,0.3516759,-0.5067997,2.2531738,0.07930593,3.1264963,0.6972913,1.922376,0.6591963,1.1664215,2.6377726,-0.45920137,-0.1395585,0.47121823,0.012434991,2.4249,-0.948792,2.1336138,2.50441,-0.0022417216,1.1917056,0.39798912,-2.203329,-0.79073024,-0.29534304,-0.9665462,2.505093,2.9242368,-0.7692729,1.4775044,0.23830624,1.2976152,-0.33147207,1.2096341,1.267348,2.257282
Balcarce,1.2580056,1.4936316,-0.579016,-3.2080896,1.5314479,-2.064346,-1.3261006,0.13140865,0.2863079,1.9241728,-1.6539379,0.9995337,0.7473795,1.3464366,0.14953382,1.2823933,0.5744944,0.8487186,1.8412017,-0.5001832,-1.4760556,0.32258403,0.58250993,-0.506512,-1.2902434,0.08766644,1.2902718,0.8997333,1.1449096,0.14486523,2.0382328,2.696836,0.5441907,1.9089524,-0.9820687,2.1961153,0.48375416,-0.41489604,0.11466862,2.271378,-0.040390518,-0.6955899,1.4530208,0.93081063,1.839917,-0.9376695,1.0167805,-2.0269465,1.7169728,-0.77378356,-1.0542464,0.82465214,1.8135914,1.2821362,-0.84526455,-1.3938684,-2.834211,-0.06698153,-0.47016972,-1.5356858,-1.834346,0.700569,0.53922194,0.9868226,1.7019602,2.3208134,1.7219275,-2.3118258,1.6955582,1.584604,-0.9039689,0.103466555,-0.7222532,-0.28191936,-0.25198865,2.4494877,-0.6944129,-0.32238492,-0.046210438,0.1445888,0.83797973,-0.16254745,0.85421854,-0.816655,0.9890096,-0.0796097,0.5965163,-0.2675253,-0.6465677,1.8198147,1.186707,1.1941596,1.5555317,-0.9005352,2.0856748,1.4049704,-2.0376623,1.0351408,-0.4408169,2.1180863
Balvanera,0.937856,-0.1070623,0.23750693,-0.62076145,0.1995771,0.40708888,-0.6324397,1.5625012,-0.9118929,-0.15484545,0.07005466,-0.813368,-1.393418,1.5070094,1.1342943,-0.027468037,1.2307922,1.251317,-1.7923446,1.040257,1.7914554,-0.77993214,0.08750936,-0.06433979,-0.44600186,1.4574623,-0.044666193,1.651364,-0.598588,-1.4619633,0.29954058,0.6634329,2.3460763,0.7381713,-1.8213465,0.5748679,-1.9196683,1.0941434,-0.92484814,0.6149924,-1.5500222,0.7801417,-0.27677402,1.8258274,0.0039845766,-0.9113902,-1.6749085,1.5368023,0.0672437,1.4383867,-1.842378,0.87577796,0.78373384,-0.3014631,-0.6085589,1.3790894,-0.19785872,-3.050472,-0.7019995,0.47294572,0.2510172,-0.9636872,-1.4255044,1.545794,-0.42792162,-0.90730923,-0.9274535,0.6341046,-1.6679342,0.5452073,-0.61725205,0.7687708,-0.40261447,0.18226624,1.3165017,2.8080008,0.16240744,-1.1607374,2.5812314,0.5868381,-1.6998081,1.8826704,-0.79042554,2.0966995,0.3415843,0.9111528,1.0863469,1.1082461,0.0016860635,-0.16644607,-0.057625875,0.21233842,0.058418885,-1.3515471,0.7241466,-1.068732,2.0050952,0.65698797,2.0352874,-1.9231478
Baradero,-1.1238657,-2.7095962,-3.129968,-1.3317165,1.032764,-1.1492451,0.7182484,-0.3093646,-0.5390973,2.6958332,0.5157903,2.0378242,-0.7874295,0.6946511,1.479727,0.67906076,-1.32165,1.7102503,0.12001492,-0.29090253,0.22876261,-0.34845534,-2.1182377,1.8212373,0.27473155,0.3720878,-0.2681152,0.34811562,-1.0289043,1.4423308,1.1010798,1.4052094,-0.3193499,-0.38095945,-3.2714913,-0.37901837,2.3829257,0.60513735,0.21530296,-0.8758609,0.31510222,-1.2285265,0.25700212,-0.116270535,-0.2413559,1.380423,-1.4639328,-0.9369298,1.2998985,0.55691177,-0.27686372,-0.44340178,-0.75497407,1.5804169,1.0763514,0.6201794,0.5869687,-0.11688756,0.6251576,0.38022742,0.19917421,-0.9250416,-0.92998147,-1.93863,-2.383092,0.6361974,0.5980479,-0.9335856,-0.59572095,-0.20241535,-0.2992225,-3.539809,-0.6676035,0.46305877,-0.7787402,-0.08145276,0.7111739,0.6283279,0.08198955,0.41273838,0.62557095,0.7352488,3.6332734,2.080357,1.3201165,-0.4372052,2.0153406,-1.1835117,1.580174,0.96407914,-1.5402768,1.5860604,0.14500998,-1.3479034,-1.6179727,0.14352402,2.3350685,0.77184695,3.9826937,0.1432416
Barracas,0.35125455,0.62057614,-2.3089252,-0.37681687,-0.35282063,-0.18845859,-2.1100962,0.22371672,0.3185873,-0.722065,-0.8560968,-1.279611,-0.6237199,1.7254878,3.611726,0.3527267,-0.33172426,0.036322888,-2.5243979,-0.31419805,0.3199318,-0.22872461,-1.8175461,0.7018919,-0.38131642,-1.2308985,0.7646987,0.06779705,0.87747794,2.096758,0.60869426,-0.3599492,0.3758904,-0.059951812,-3.315666,1.0344288,0.44455135,0.8403999,0.97683537,-0.6101903,-0.18421373,-0.92477363,0.32884234,-0.45548552,-1.6685145,-1.0529927,0.26799318,1.3270602,-0.3135976,-0.71935916,-0.26698834,-0.48184368,1.0336251,-1.1037959,0.78004265,0.7141915,-2.5261273,-3.3943155,0.3680572,0.16766989,-0.42988518,-2.4638345,-0.2905589,1.401795,-0.37626413,0.8507827,-1.1948662,0.43371633,-1.3936924,-0.17675953,-2.1783383,1.2216476,-1.3432591,0.9073863,1.1914443,2.1791418,1.662806,-2.2752988,2.393572,0.92272437,-1.05297,0.37833878,0.5944956,3.0671153,-0.5251336,2.7603421,0.49507728,0.353111,1.4309351,-0.9625513,-0.08572514,0.6891684,-1.3330395,-1.6073937,0.19475041,-1.0225124,-2.1443906,0.008050726,1.052055,1.0274813
Barranqueras,0.051141303,-1.345848,-0.7210815,-0.44740137,0.73190224,-0.999056,0.8053919,1.0690715,0.29554322,1.310224,-0.51477075,-0.20133665,0.9240519,0.738959,-0.3540327,-1.1801249,-0.8121891,-1.4626302,0.6582714,-1.4304138,-1.676621,-0.42880595,0.3779545,-1.587664,-1.8929664,1.5690949,0.6725864,-1.5288199,3.51124,-1.187766,-0.7992021,-0.016988,0.27207005,0.6975648,0.05008654,0.2189601,-1.2093996,1.930675,0.6301522,1.0006851,1.0665499,1.2404568,2.1036704,1.2941177,0.26619112,-1.0928603,-3.401615,-0.095097825,0.07131902,1.0024674,-1.2347056,0.18018462,-0.19273144,1.6489892,-1.0390213,-0.7593691,-0.85207367,-0.65046823,-0.97527146,0.11260191,0.65226716,2.0115032,-1.0012566,0.28177795,-0.7670382,0.2561641,-0.99404985,-1.3659247,0.21953203,0.6821092,0.6739504,0.25073668,2.4309275,-1.6065327,0.7755185,0.043586675,-1.2997856,-1.0381539,-1.6260518,2.1209958,1.2687558,-0.7579006,0.7862726,0.03643545,-0.17660011,-1.1050475,-0.9147866,-1.1654532,0.10728189,1.7878044,0.74345535,1.1959532,0.9353312,0.37468466,2.2858448,-0.6671672,0.5123855,0.11177602,2.1899357,0.78682154
